# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 24 03:51:20 2026
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
#
kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_impact,koi_impact_err1,koi_impact_err2,koi_prad,koi_prad_err1,koi_prad_err2
K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.6310,0.0070,-0.0070,14.59,1.110e+00,-1.110e+00
K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,0.0510,0.3950,-0.0510,1.16,1.700e-01,-1.200e-01
K00742.01,,FALSE POSITIVE,FALSE POSITIVE,2.4830,2.8510,-0.6730,150.51,3.976e+01,-1.331e+01
K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.8040,0.0070,-0.0050,7.18,7.600e-01,-6.800e-01
K00744.01,,FALSE POSITIVE,FALSE POSITIVE,1.0650,0.0310,-0.0340,49.29,1.603e+01,-5.000e+00
K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.2920,0.1180,-0.1010,7.94,8.900e-01,-8.900e-01
K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,0.3870,0.0040,-0.3860,2.47,2.000e-01,-2.400e-01
K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,0.2580,0.1960,-0.2580,2.85,2.600e-01,-1.500e-01
K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0440,0.3600,-0.0440,1.58,1.300e-01,-1.600e-01
K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,0.0920,0.3690,-0.0920,2.55,1.600e-01,-2.400e-01
K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.2260,0.2430,-0.2260,1.70,1.100e-01,-1.600e-01
K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.0250,0.4250,-0.0250,1.30,9.000e-02,-1.200e-01
K00113.01,,FALSE POSITIVE,FALSE POSITIVE,0.9765,0.0497,-0.0268,41.50,1.680e+00,-1.680e+00
K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,0.8960,0.0100,-0.6630,2.95,1.200e-01,-2.300e-01
K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,0.7100,0.0060,-0.5330,2.78,5.200e-01,-2.300e-01
K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,0.4240,0.1120,-0.3560,2.30,5.800e-01,-1.900e-01
K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.8600,0.0420,-0.1250,4.53,1.010e+00,-4.400e-01
K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.7010,0.0040,-0.0050,14.14,2.130e+00,-7.100e-01
K00772.01,,FALSE POSITIVE,FALSE POSITIVE,1.2480,6.9120,-0.0670,39.87,1.279e+01,-5.480e+00
K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,0.4680,0.4610,-0.2670,2.82,3.700e-01,-3.400e-01
K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.0450,0.3370,-0.0450,3.86,1.500e-01,-3.300e-01
K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,0.1050,0.3290,-0.1050,2.65,1.000e-01,-2.300e-01
K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,0.7990,0.0970,-0.5510,3.10,3.400e-01,-3.100e-01
K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,0.0210,0.4020,-0.0210,3.36,7.600e-01,-3.300e-01
K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.6060,0.3350,-0.4000,2.12,4.800e-01,-2.100e-01
K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,0.8310,0.0160,-0.0040,12.21,1.960e+00,-1.460e+00
K00761.01,,FALSE POSITIVE,FALSE POSITIVE,1.0160,3.9670,-0.0590,6.54,1.640e+00,-7.500e-01
K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,0.3120,0.1540,-0.3120,2.10,6.500e-01,-2.200e-01
K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.7230,0.0100,-0.0200,12.42,3.920e+00,-1.690e+00
K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,0.7870,0.0050,-0.5650,2.94,4.300e-01,-3.800e-01
K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.3550,0.0400,-0.3550,5.50,1.570e+00,-9.600e-01
K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,0.0230,0.4230,-0.0230,2.52,5.400e-01,-2.400e-01
K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,0.5970,0.2350,-0.3670,4.43,1.440e+00,-5.100e-01
K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,0.1050,0.2640,-0.1190,12.21,1.620e+00,-8.700e-01
K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.8120,0.0060,-0.0090,7.34,9.000e-01,-6.000e-01
K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,0.1510,0.3040,-0.1510,1.89,5.400e-01,-2.000e-01
K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,0.4050,0.0410,-0.4050,3.25,4.700e-01,-2.500e-01
K00787.02,Kepler-232 c,CONFIRMED,CANDIDATE,0.9110,0.0090,-0.6560,3.95,5.700e-01,-3.100e-01
K00788.01,Kepler-681 b,CONFIRMED,CANDIDATE,0.6020,0.2500,-0.3960,3.07,4.100e-01,-2.200e-01
K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,0.8660,0.0150,-0.6210,2.64,4.000e-01,-2.700e-01
K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,0.8980,0.0130,-0.6990,1.79,2.600e-01,-2.300e-01
K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.1370,0.3460,-0.2240,15.03,4.730e+00,-1.580e+00
K00775.01,Kepler-52 c,CONFIRMED,CANDIDATE,0.0010,0.4370,-0.0010,2.00,9.000e-02,-1.000e-01
K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,0.0410,0.4090,-0.0410,2.16,9.000e-02,-1.100e-01
K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,0.0280,0.4370,-0.0280,1.99,9.000e-02,-9.000e-02
K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,0.5580,0.1300,-0.1490,6.02,1.220e+00,-5.200e-01
K00777.01,,CANDIDATE,CANDIDATE,0.9110,5.5670,-0.1180,7.51,1.120e+00,-9.100e-01
K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,0.9150,0.0090,-0.6300,1.99,1.000e-01,-1.200e-01
K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0.3240,0.0610,-0.0750,11.23,2.920e+00,-1.950e+00
K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,0.2800,0.1890,-0.2800,2.34,1.700e-01,-9.000e-02
K00780.02,,CANDIDATE,CANDIDATE,1.1980,49.8500,-0.2580,19.45,1.400e+00,-7.100e-01
K00115.03,,CANDIDATE,CANDIDATE,0.6240,0.0370,-0.4760,0.55,8.000e-02,-7.000e-02
K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,0.6790,0.1870,-0.4700,2.65,2.100e-01,-2.900e-01
K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,0.3900,0.0650,-0.3060,5.31,1.500e+00,-8.100e-01
K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,0.5470,0.0520,-0.2290,4.86,1.050e+00,-3.700e-01
K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,0.0310,0.3600,-0.0310,1.93,1.000e-01,-1.200e-01
K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,0.6280,0.0030,-0.4780,1.91,1.000e-01,-1.200e-01
K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,0.8830,0.0330,-0.6400,2.66,5.400e-01,-2.300e-01
K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,0.8520,0.0390,-0.5850,2.87,4.300e-01,-3.000e-01
K00798.01,,FALSE POSITIVE,FALSE POSITIVE,1.2130,11.2800,-0.1410,21.55,3.540e+00,-1.890e+00
K00799.01,,FALSE POSITIVE,FALSE POSITIVE,1.2600,4.8270,-0.0430,32.43,9.000e+00,-4.830e+00
K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,0.0230,0.4050,-0.0230,3.12,1.020e+00,-3.400e-01
K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,0.0120,0.3940,-0.0120,3.32,1.090e+00,-3.600e-01
K00789.01,,FALSE POSITIVE,FALSE POSITIVE,0.1601,0.2975,-0.1600,1.88,7.100e-01,-1.400e-01
K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,0.0220,0.3780,-0.0220,2.59,3.700e-01,-2.200e-01
K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,0.0940,0.3590,-0.0940,2.36,3.400e-01,-2.000e-01
K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,0.5500,0.0650,-0.1280,7.40,2.200e+00,-7.300e-01
K00792.01,,FALSE POSITIVE,FALSE POSITIVE,1.2680,5.6520,-0.1230,46.58,8.010e+00,-8.000e+00
K00793.01,,FALSE POSITIVE,FALSE POSITIVE,1.2150,59.5200,-0.4630,28.59,8.610e+00,-3.690e+00
K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,0.2380,0.1980,-0.2380,2.06,2.900e-01,-2.800e-01
K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,0.8380,0.0830,-0.5890,2.77,4.600e-01,-1.500e-01
K00796.01,,FALSE POSITIVE,FALSE POSITIVE,1.2580,0.3340,-0.1410,27.51,3.460e+00,-1.730e+00
K00797.01,,CANDIDATE,CANDIDATE,0.9200,0.0070,-0.0050,7.73,2.170e+00,-7.200e-01
K00812.02,Kepler-235 d,CONFIRMED,CANDIDATE,0.5560,0.3230,-0.3680,1.96,1.300e-01,-1.600e-01
K00812.03,Kepler-235 e,CONFIRMED,CANDIDATE,0.0130,0.4150,-0.0130,1.83,1.200e-01,-1.500e-01
K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,0.9500,0.0040,-0.6600,1.31,2.000e-01,-1.300e-01
K00812.04,Kepler-235 c,CONFIRMED,CANDIDATE,0.7080,0.2340,-0.4870,1.20,8.000e-02,-1.000e-01
K00813.01,Kepler-688 b,CONFIRMED,CANDIDATE,0.5240,0.0690,-0.2370,7.34,1.530e+00,-6.500e-01
K00814.01,Kepler-689 b,CONFIRMED,CANDIDATE,0.4000,0.0660,-0.4000,2.32,3.800e-01,-1.600e-01
K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,0.0760,0.0220,-0.0760,9.73,1.410e+00,-1.420e+00
K00802.01,,CANDIDATE,CANDIDATE,0.4580,0.0800,-0.1650,13.60,1.820e+00,-9.200e-01
K00803.01,,FALSE POSITIVE,FALSE POSITIVE,1.1750,33.6300,-0.9110,17.47,4.120e+00,-1.650e+00
K00804.01,Kepler-1727 b,CONFIRMED,CANDIDATE,0.0240,0.4010,-0.0240,2.57,4.400e-01,-2.600e-01
K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.2810,0.0400,-0.0640,13.28,3.640e+00,-2.410e+00
K00806.01,Kepler-30 d,CONFIRMED,CANDIDATE,0.3790,0.0730,-0.2730,8.90,8.200e-01,-3.800e-01
K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,0.6460,0.3230,-0.4300,0.79,1.300e-01,-8.000e-02
K00806.02,Kepler-30 c,CONFIRMED,CANDIDATE,0.2240,0.0670,-0.1460,12.19,1.110e+00,-5.200e-01
K00806.03,Kepler-30 b,CONFIRMED,CANDIDATE,0.3619,0.0945,-0.3618,1.91,2.000e-01,-7.000e-02
K00807.01,,FALSE POSITIVE,FALSE POSITIVE,1.2250,6.8130,-0.1010,25.69,7.440e+00,-2.330e+00
K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0.0140,0.3340,-0.0140,1.70,1.000e-01,-1.500e-01
K00809.01,Kepler-686 b,CONFIRMED,CANDIDATE,0.5140,0.0220,-0.0370,11.30,3.090e+00,-1.330e+00
K00810.01,Kepler-1728 b,CONFIRMED,CANDIDATE,0.0030,0.4250,-0.0030,2.50,3.400e-01,-1.900e-01
K00811.01,Kepler-687 b,CONFIRMED,CANDIDATE,0.2600,0.1510,-0.2600,3.41,2.800e-01,-3.100e-01
K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,0.4660,0.0020,-0.4370,2.03,1.300e-01,-1.700e-01
K00828.01,,FALSE POSITIVE,FALSE POSITIVE,1.2550,16.5000,-0.3490,30.26,9.570e+00,-3.190e+00
K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,0.0800,0.3290,-0.0800,3.12,4.700e-01,-2.800e-01
K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,0.5290,0.0210,-0.4600,1.70,8.000e-02,-5.000e-02
K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,0.9490,0.0280,-0.6730,2.76,4.300e-01,-2.400e-01
K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,0.9110,0.0250,-0.6630,4.02,6.200e-01,-3.600e-01
K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,0.1200,0.0060,-0.0840,11.58,9.000e-01,-4.800e-01
K00815.01,,CANDIDATE,CANDIDATE,0.9340,0.5750,-0.0310,7.61,1.720e+00,-9.100e-01
K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,0.5170,0.2370,-0.3250,5.52,1.700e+00,-5.600e-01
K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,0.4160,0.0530,-0.4160,1.80,1.000e-01,-1.500e-01
K00817.02,Kepler-236 b,CONFIRMED,CANDIDATE,0.8880,0.0620,-0.6120,1.82,1.000e-01,-1.500e-01
K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,0.5730,0.0000,-0.4680,2.10,1.400e-01,-1.600e-01
K00819.01,,FALSE POSITIVE,FALSE POSITIVE,0.5010,0.0030,-0.0050,27.50,5.280e+00,-2.270e+00
K00820.01,,CANDIDATE,CANDIDATE,1.2800,0.0980,-0.0700,30.09,5.790e+00,-3.140e+00
K00011.01,,FALSE POSITIVE,FALSE POSITIVE,1.1210,1.1040,-0.0350,13.65,3.110e+00,-1.040e+00
K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,0.1730,0.2620,-0.1730,2.89,1.300e-01,-1.000e-01
K00821.01,Kepler-692 b,CONFIRMED,CANDIDATE,0.0530,0.3940,-0.0530,3.38,9.100e-01,-4.900e-01
K00822.01,,FALSE POSITIVE,FALSE POSITIVE,0.7330,0.0100,-0.0110,10.34,2.590e+00,-8.700e-01
K00823.01,,CANDIDATE,CANDIDATE,1.5734,0.2599,-0.3164,72.77,2.771e+01,-8.600e+00
K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,0.6920,0.0330,-0.0660,11.01,4.400e-01,-8.200e-01
K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,0.0470,0.4090,-0.0470,2.11,1.800e-01,-2.000e-01
K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,0.2580,0.1950,-0.2580,1.46,1.200e-01,-1.400e-01
K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,0.5240,0.0090,-0.4600,2.44,6.000e-01,-2.100e-01
K00827.01,,FALSE POSITIVE,FALSE POSITIVE,0.9410,0.0170,-0.6180,3.86,1.320e+00,-4.400e-01
K00839.01,,FALSE POSITIVE,FALSE POSITIVE,1.2410,1.2950,-0.1350,26.25,6.900e+00,-2.470e+00
K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,0.7360,0.0130,-0.0240,8.99,8.000e-01,-9.900e-01
K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,0.7730,0.0060,-0.5430,5.00,4.900e-01,-1.800e-01
K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,0.7060,0.2370,-0.4940,1.06,5.000e-02,-4.000e-02
K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,0.7980,0.0210,-0.0430,6.50,6.400e-01,-2.300e-01
K00831.01,,FALSE POSITIVE,FALSE POSITIVE,0.7090,0.0110,-0.0150,12.28,3.560e+00,-1.190e+00
K00832.01,,FALSE POSITIVE,FALSE POSITIVE,0.3770,0.0090,-0.0090,17.61,4.050e+00,-1.870e+00
K00833.01,,FALSE POSITIVE,FALSE POSITIVE,1.2760,6.0270,-0.2140,31.44,8.940e+00,-2.960e+00
K00834.01,Kepler-238 e,CONFIRMED,CANDIDATE,0.0080,0.1690,-0.0080,7.89,1.380e+00,-1.520e+00
K00834.02,Kepler-238 d,CONFIRMED,CANDIDATE,0.0140,0.3990,-0.0140,3.06,5.400e-01,-5.800e-01
K00834.03,Kepler-238 c,CONFIRMED,CANDIDATE,0.2350,0.2040,-0.2350,2.32,4.000e-01,-4.500e-01
K00834.04,Kepler-238 b,CONFIRMED,CANDIDATE,0.7460,0.0530,-0.5210,1.62,2.800e-01,-3.200e-01
K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,0.1960,0.2420,-0.1960,1.53,7.000e-02,-5.000e-02
K00834.05,Kepler-238 f,CONFIRMED,CANDIDATE,0.3790,0.1110,-0.3780,2.67,4.700e-01,-5.100e-01
K00835.01,Kepler-239 b,CONFIRMED,CANDIDATE,0.0480,0.3930,-0.0480,2.35,1.700e-01,-8.000e-02
K00835.02,Kepler-239 c,CONFIRMED,CANDIDATE,0.7000,0.2080,-0.4960,2.37,1.700e-01,-9.000e-02
K00836.01,,FALSE POSITIVE,FALSE POSITIVE,1.1780,5.6850,-0.1150,17.06,1.320e+00,-1.600e+00
K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,0.3000,0.1450,-0.3000,2.25,7.000e-02,-1.400e-01
K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,0.0040,0.4710,-0.0030,1.48,5.000e-02,-9.000e-02
K00838.01,,FALSE POSITIVE,FALSE POSITIVE,1.2590,1.0890,-0.1780,38.33,1.280e+01,-4.270e+00
K00850.01,Kepler-702 b,CONFIRMED,CANDIDATE,0.6440,0.0310,-0.0450,8.24,1.480e+00,-8.000e-01
K00851.01,Kepler-703 b,CONFIRMED,CANDIDATE,0.0450,0.3190,-0.0450,5.39,1.600e+00,-5.300e-01
K00852.01,Kepler-704 b,CONFIRMED,CANDIDATE,0.9260,0.0000,-0.6630,2.66,7.300e-01,-2.600e-01
K00853.01,Kepler-242 b,CONFIRMED,CANDIDATE,0.8230,0.0010,-0.5800,3.01,2.400e-01,-3.000e-01
K00853.02,Kepler-242 c,CONFIRMED,CANDIDATE,0.9700,0.0020,-0.6630,3.01,2.400e-01,-3.000e-01
K00841.03,Kepler-27 d,CONFIRMED,CANDIDATE,0.6440,0.2950,-0.4380,2.19,2.200e-01,-8.000e-02
K00842.01,Kepler-241 b,CONFIRMED,CANDIDATE,0.4270,0.0160,-0.4270,2.31,1.700e-01,-2.200e-01
K00842.02,Kepler-241 c,CONFIRMED,CANDIDATE,0.2600,0.1450,-0.2600,2.64,1.900e-01,-2.600e-01
K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,0.4580,0.0040,-0.3770,6.21,2.050e+00,-8.200e-01
K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,0.0230,0.3230,-0.0230,4.35,6.400e-01,-2.800e-01
K00845.01,Kepler-698 b,CONFIRMED,CANDIDATE,0.7910,0.0910,-0.5410,3.75,1.110e+00,-4.700e-01
K00846.01,Kepler-699 b,CONFIRMED,CANDIDATE,0.7820,0.0020,-0.0030,13.84,3.630e+00,-1.210e+00
K00847.01,Kepler-700 b,CONFIRMED,CANDIDATE,0.5270,0.0800,-0.3090,7.59,1.240e+00,-1.520e+00
K00848.01,,FALSE POSITIVE,FALSE POSITIVE,1.2660,6.9240,-0.1020,26.82,2.480e+00,-2.740e+00
K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,0.6860,0.0150,-0.5050,2.29,1.200e-01,-8.000e-02
K00849.01,Kepler-701 b,CONFIRMED,CANDIDATE,0.0290,0.4290,-0.0290,2.47,5.900e-01,-3.100e-01
K00867.01,Kepler-709 b,CONFIRMED,CANDIDATE,0.8670,0.0110,-0.6130,3.68,5.400e-01,-3.600e-01
K00868.01,,CANDIDATE,CANDIDATE,0.7780,0.0060,-0.0080,10.59,3.500e-01,-5.200e-01
K00869.01,Kepler-245 b,CONFIRMED,CANDIDATE,0.0200,0.4040,-0.0200,2.56,1.700e-01,-1.200e-01
K00869.02,Kepler-245 d,CONFIRMED,CANDIDATE,0.0350,0.3790,-0.0350,3.03,2.000e-01,-1.500e-01
K00869.03,Kepler-245 c,CONFIRMED,CANDIDATE,0.5940,0.3260,-0.3770,2.32,1.500e-01,-1.200e-01
K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.0180,0.4130,-0.0180,1.94,1.200e-01,-2.200e-01
K00855.01,Kepler-706 b,CONFIRMED,CANDIDATE,0.3770,0.0160,-0.0290,11.38,2.070e+00,-1.040e+00
K00856.01,,CANDIDATE,CANDIDATE,0.8810,0.0030,-0.0030,14.21,4.460e+00,-1.490e+00
K00857.01,Kepler-243 b,CONFIRMED,CANDIDATE,0.3480,0.0980,-0.3470,2.47,3.700e-01,-1.700e-01
K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,0.0350,0.3610,-0.0350,8.20,5.000e-01,-5.500e-01
K00857.02,Kepler-243 c,CONFIRMED,CANDIDATE,0.9570,0.0030,-0.6890,2.28,3.500e-01,-1.600e-01
K00858.01,,CANDIDATE,CANDIDATE,1.0810,0.3470,-0.1190,19.02,4.920e+00,-2.280e+00
K00859.01,,FALSE POSITIVE,FALSE POSITIVE,0.2300,0.7990,-0.2300,2.66,2.000e-01,-2.700e-01
K00861.01,Kepler-707 b,CONFIRMED,CANDIDATE,0.1280,0.3250,-0.1270,1.41,1.300e-01,-5.000e-02
K00862.01,,FALSE POSITIVE,FALSE POSITIVE,0.2110,0.0200,-0.0410,14.62,2.920e+00,-1.580e+00
K00863.01,Kepler-708 b,CONFIRMED,CANDIDATE,0.0260,0.3660,-0.0260,2.62,7.800e-01,-2.600e-01
K00864.01,Kepler-244 b,CONFIRMED,CANDIDATE,0.1960,0.2210,-0.1960,3.11,3.900e-01,-2.100e-01
K00864.02,Kepler-244 d,CONFIRMED,CANDIDATE,0.3830,0.0810,-0.3830,2.69,3.300e-01,-1.800e-01
K00864.03,Kepler-244 c,CONFIRMED,CANDIDATE,0.9000,0.0230,-0.6330,2.67,3.300e-01,-1.800e-01
K00865.01,,CANDIDATE,CANDIDATE,0.0760,0.1730,-0.0760,8.98,1.230e+00,-1.350e+00
K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE,0.8120,0.0480,-0.0100,7.78,4.800e-01,-5.200e-01
K00866.01,,FALSE POSITIVE,FALSE POSITIVE,0.9650,0.1300,-0.0430,4.37,1.380e+00,-4.600e-01
K00880.01,Kepler-82 b,CONFIRMED,CANDIDATE,0.0300,0.3550,-0.0300,3.91,4.300e-01,-2.900e-01
K00880.02,Kepler-82 c,CONFIRMED,CANDIDATE,0.1830,0.1650,-0.1830,5.51,6.200e-01,-4.100e-01
K00880.03,Kepler-82 e,CONFIRMED,CANDIDATE,0.2090,0.1650,-0.2090,2.43,2.700e-01,-1.800e-01
K00880.04,Kepler-82 d,CONFIRMED,CANDIDATE,0.4790,0.4160,-0.3110,1.86,2.100e-01,-1.300e-01
K00881.01,Kepler-712 b,CONFIRMED,CANDIDATE,0.0360,0.3600,-0.0360,3.07,2.100e-01,-1.400e-01
K00869.04,Kepler-245 e,CONFIRMED,CANDIDATE,0.0600,0.4000,-0.0600,1.69,1.100e-01,-8.000e-02
K00870.01,Kepler-28 b,CONFIRMED,CANDIDATE,0.1700,0.2010,-0.1700,1.73,9.000e-02,-1.000e-01
K00870.02,Kepler-28 c,CONFIRMED,CANDIDATE,0.0080,0.3870,-0.0080,1.65,9.000e-02,-9.000e-02
K00871.01,,CANDIDATE,CANDIDATE,0.8970,0.1600,-0.0720,22.94,4.930e+00,-1.960e+00
K00120.01,,FALSE POSITIVE,FALSE POSITIVE,0.9500,0.0070,-0.6680,2.41,5.600e-01,-6.300e-01
K00872.01,Kepler-46 b,CONFIRMED,CANDIDATE,0.6700,0.0280,-0.0730,8.46,4.000e-01,-5.000e-01
K00872.02,Kepler-46 d,CONFIRMED,CANDIDATE,0.4290,0.0310,-0.4290,1.97,9.000e-02,-1.200e-01
K00873.01,Kepler-710 b,CONFIRMED,CANDIDATE,0.0250,0.4040,-0.0250,2.36,3.900e-01,-2.900e-01
K00874.01,Kepler-246 b,CONFIRMED,CANDIDATE,0.5670,0.0450,-0.4480,2.35,9.000e-02,-1.800e-01
